Name,RollNo,Dept,CGPA,Year,Email,ABC ID
Aarav Sharma,CSE26101,ECE,7.0,2026,aaravsharma@gmail.com,ABC-261-000-101
Ananya Gupta,CSE26102,CSE ICBT,7.04,2026,ananyagupta@gmail.com,ABC-261-000-102
Amit Verma,CSE26103,CSE ICBT,7.09,2026,amitverma@gmail.com,ABC-261-000-103
Neha Joshi,CSE26104,CSE ICBT,7.13,2026,nehajoshi@gmail.com,ABC-261-000-104
Rohan Nair,CSE26105,ECE,7.17,2026,rohannair@gmail.com,ABC-261-000-105
Jyoti Sen,CSE26106,CSE ICBT,7.21,2026,jyotisen@gmail.com,ABC-261-000-106
Rahul Kulkarni,CSE26107,CSE ICBT,7.26,2026,rahulkulkarni@gmail.com,ABC-261-000-107
Karan Mehta,CSE26108,CSE ICBT,7.3,2026,karanmehta@gmail.com,ABC-261-000-108
Sneha Deshmukh,CSE26109,ECE,7.34,2026,snehadeshmukh@gmail.com,ABC-261-000-109
Siddharth Singh,CSE26110,CSE ICBT,7.39,2026,siddharthsingh@gmail.com,ABC-261-000-110
Ishaan Chawla,CSE26111,CSE ICBT,7.43,2026,ishaanchawla@gmail.com,ABC-261-000-111
Diya Bose,CSE26112,CSE ICBT,7.47,2026,diyabose@gmail.com,ABC-261-000-112
Arjun Dutta,CSE26113,ECE,7.52,2026,arjundutta@gmail.com,ABC-261-000-113
Pooja Patil,CSE26114,CSE ICBT,7.56,2026,poojapatil@gmail.com,ABC-261-000-114
Aditya Patel,CSE26115,CSE ICBT,7.6,2026,adityapatel@gmail.com,ABC-261-000-115
Shruti Mishra,CSE26116,CSE ICBT,7.64,2026,shrutimishra@gmail.com,ABC-261-000-116
Kabir Rao,CSE26117,ECE,7.69,2026,kabirrao@gmail.com,ABC-261-000-117
Tanvi Reddy,CSE26118,CSE ICBT,7.73,2026,tanvireddy@gmail.com,ABC-261-000-118
Yash Pillai,CSE26119,CSE ICBT,7.77,2026,yashpillai@gmail.com,ABC-261-000-119
Riya Choudhury,CSE26120,CSE ICBT,7.82,2026,riyachoudhury@gmail.com,ABC-261-000-120
Vikram Sharma,CSE26121,ECE,7.86,2026,vikramsharma@gmail.com,ABC-261-000-121
Meera Gupta,CSE26122,CSE ICBT,7.9,2026,meeragupta@gmail.com,ABC-261-000-122
Ravi Verma,CSE26123,CSE ICBT,7.95,2026,raviverma@gmail.com,ABC-261-000-123
Kriti Joshi,CSE26124,CSE ICBT,7.99,2026,kritijoshi@gmail.com,ABC-261-000-124
Manish Nair,CSE26125,ECE,8.03,2026,manishnair@gmail.com,ABC-261-000-125
Kiran Sen,CSE26126,CSE ICBT,8.07,2026,kiransen@gmail.com,ABC-261-000-126
Sanjay Kulkarni,CSE26127,CSE ICBT,8.12,2026,sanjaykulkarni@gmail.com,ABC-261-000-127
Payal Mehta,CSE26128,CSE ICBT,8.16,2026,payalmehta@gmail.com,ABC-261-000-128
Deepak Deshmukh,CSE26129,ECE,8.2,2026,deepakdeshmukh@gmail.com,ABC-261-000-129
Sapna Singh,CSE26130,CSE ICBT,8.25,2026,sapnasingh@gmail.com,ABC-261-000-130
